date,number,latitude,longitude,tp
2017-04-01,0,40.0,126.0,0.0
2017-04-01,0,40.0,127.0,0.0
2017-04-01,0,40.0,128.0,0.0
2017-04-01,0,40.0,129.0,0.0
2017-04-01,0,39.0,126.0,0.0
2017-04-01,0,39.0,127.0,0.0
2017-04-01,0,39.0,128.0,0.0
2017-04-01,0,39.0,129.0,0.0
2017-04-01,0,38.0,126.0,0.0
2017-04-01,0,38.0,127.0,0.0
2017-04-01,0,38.0,128.0,0.0
2017-04-01,0,38.0,129.0,0.19
2017-04-01,0,37.0,126.0,0.0
2017-04-01,0,37.0,127.0,0.0
2017-04-01,0,37.0,128.0,0.03
2017-04-01,0,37.0,129.0,0.19
2017-04-01,0,36.0,126.0,0.0
2017-04-01,0,36.0,127.0,0.0
2017-04-01,0,36.0,128.0,0.03
2017-04-01,0,36.0,129.0,0.43
2017-04-01,0,35.0,126.0,0.0
2017-04-01,0,35.0,127.0,0.0
2017-04-01,0,35.0,128.0,0.0
2017-04-01,0,35.0,129.0,0.4
2017-04-01,0,34.0,126.0,0.0
2017-04-01,0,34.0,127.0,0.0
2017-04-01,0,34.0,128.0,0.0
2017-04-01,0,34.0,129.0,0.0
2017-04-01,0,33.0,126.0,0.0
2017-04-01,0,33.0,127.0,0.0
2017-04-01,0,33.0,128.0,0.0
2017-04-01,0,33.0,129.0,0.0
2017-04-01,1,40.0,126.0,0.0
2017-04-01,1,40.0,127.0,0.0
2017-04-01,1,40.0,128.0,0.0
2017-04-01,1,40.0,129.0,0.0
2017-04-01,1,39.0,126.0,0.0
2017-04-01,1,39.0,127.0,0.0
2017-04-01,1,39.0,128.0,0.0
2017-04-01,1,39.0,129.0,0.0
2017-04-01,1,38.0,126.0,0.0
2017-04-01,1,38.0,127.0,0.0
2017-04-01,1,38.0,128.0,0.0
2017-04-01,1,38.0,129.0,0.03
2017-04-01,1,37.0,126.0,0.0
2017-04-01,1,37.0,127.0,0.0
2017-04-01,1,37.0,128.0,0.0
2017-04-01,1,37.0,129.0,0.03
2017-04-01,1,36.0,126.0,0.0
2017-04-01,1,36.0,127.0,0.0
2017-04-01,1,36.0,128.0,0.0
2017-04-01,1,36.0,129.0,0.0
2017-04-01,1,35.0,126.0,0.0
2017-04-01,1,35.0,127.0,0.0
2017-04-01,1,35.0,128.0,0.0
2017-04-01,1,35.0,129.0,0.0
2017-04-01,1,34.0,126.0,0.0
2017-04-01,1,34.0,127.0,0.0
2017-04-01,1,34.0,128.0,0.0
2017-04-01,1,34.0,129.0,0.32
2017-04-01,1,33.0,126.0,0.0
2017-04-01,1,33.0,127.0,0.0
2017-04-01,1,33.0,128.0,0.03
2017-04-01,1,33.0,129.0,0.35
2017-04-01,2,40.0,126.0,0.0
2017-04-01,2,40.0,127.0,0.0
2017-04-01,2,40.0,128.0,0.0
2017-04-01,2,40.0,129.0,0.0
2017-04-01,2,39.0,126.0,0.0
2017-04-01,2,39.0,127.0,0.0
2017-04-01,2,39.0,128.0,0.0
2017-04-01,2,39.0,129.0,0.03
2017-04-01,2,38.0,126.0,0.0
2017-04-01,2,38.0,127.0,0.0
2017-04-01,2,38.0,128.0,0.03
2017-04-01,2,38.0,129.0,0.19
2017-04-01,2,37.0,126.0,0.0
2017-04-01,2,37.0,127.0,0.0
2017-04-01,2,37.0,128.0,0.38
2017-04-01,2,37.0,129.0,0.56
2017-04-01,2,36.0,126.0,0.0
2017-04-01,2,36.0,127.0,0.13
2017-04-01,2,36.0,128.0,0.51
2017-04-01,2,36.0,129.0,2.26
2017-04-01,2,35.0,126.0,0.0
2017-04-01,2,35.0,127.0,0.13
2017-04-01,2,35.0,128.0,1.07
2017-04-01,2,35.0,129.0,2.82
2017-04-01,2,34.0,126.0,0.0
2017-04-01,2,34.0,127.0,0.0
2017-04-01,2,34.0,128.0,0.94
2017-04-01,2,34.0,129.0,2.47
2017-04-01,2,33.0,126.0,0.0
2017-04-01,2,33.0,127.0,0.0
2017-04-01,2,33.0,128.0,0.0
2017-04-01,2,33.0,129.0,1.56
2017-04-01,3,40.0,126.0,0.0
2017-04-01,3,40.0,127.0,0.0
2017-04-01,3,40.0,128.0,0.0
2017-04-01,3,40.0,129.0,0.0
2017-04-01,3,39.0,126.0,0.0
2017-04-01,3,39.0,127.0,0.0
2017-04-01,3,39.0,128.0,0.0
2017-04-01,3,39.0,129.0,0.0
2017-04-01,3,38.0,126.0,0.0
2017-04-01,3,38.0,127.0,0.0
2017-04-01,3,38.0,128.0,0.0
2017-04-01,3,38.0,129.0,0.0
2017-04-01,3,37.0,126.0,0.0
2017-04-01,3,37.0,127.0,0.0
2017-04-01,3,37.0,128.0,0.0
2017-04-01,3,37.0,129.0,0.0
2017-04-01,3,36.0,126.0,0.0
2017-04-01,3,36.0,127.0,0.0
