date,0,1,2,3,4,5,6,7,8,9
2017-04-01,0.1,0.01,0.39,0.0,0.02,0.23,0.01,0.0,0.57,0.0
2017-04-02,0.1,0.01,0.39,0.0,0.02,0.23,0.01,0.0,0.57,0.0
2017-04-03,0.1,0.01,0.43,0.0,0.02,2.27,0.01,0.0,0.57,0.0
2017-04-04,0.13,0.03,2.36,0.54,0.45,9.11,16.67,12.97,18.95,0.0
2017-04-05,1.44,0.25,2.74,2.89,1.0,10.12,17.86,13.29,19.92,0.36
2017-04-06,22.39,22.87,5.25,13.12,4.73,11.38,18.48,14.45,20.89,24.84
2017-04-07,24.49,25.65,10.71,48.3,4.91,14.05,18.49,22.41,20.89,27.07
2017-04-08,28.88,25.86,41.21,48.45,4.99,15.77,23.65,23.56,21.11,27.22
2017-04-09,29.14,26.07,41.21,48.54,5.02,16.62,24.17,30.36,31.47,27.24
2017-04-10,29.47,26.07,41.21,48.63,23.82,16.62,24.18,30.36,31.47,27.24
2017-04-11,29.5,26.13,41.21,48.63,28.03,16.62,24.19,30.36,31.47,31.96
2017-04-12,29.5,26.29,41.21,48.7,28.03,20.96,25.98,30.36,31.49,32.42
2017-04-13,29.54,40.54,41.22,57.36,28.1,23.73,25.98,30.36,31.55,33.35
2017-04-14,29.68,49.05,43.01,65.4,31.13,24.08,25.99,51.52,31.75,39.65
2017-04-15,29.69,49.63,43.05,66.37,32.12,24.08,26.63,59.11,44.39,39.67
2017-04-16,29.69,49.66,43.77,67.35,32.13,37.03,46.72,61.28,44.44,39.67
2017-04-17,29.69,49.66,67.43,67.35,32.13,37.91,54.71,61.65,44.44,39.68
2017-04-18,29.73,49.66,72.95,67.43,37.76,37.91,60.36,61.65,44.44,42.47
2017-04-19,30.6,53.51,73.86,70.8,51.22,59.67,76.42,61.65,44.44,59.36
2017-04-20,30.6,68.85,73.88,74.74,56.74,95.54,82.56,61.65,77.22,59.36
2017-04-21,30.6,69.13,74.05,74.75,56.77,96.13,82.56,61.67,77.22,59.48
2017-04-22,30.79,70.97,115.8,74.76,56.77,96.13,83.23,61.67,77.29,60.51
2017-04-23,31.47,71.2,116.13,74.85,56.77,96.13,83.68,61.68,77.4,60.66
2017-04-24,31.47,71.75,116.13,80.0,75.62,96.58,86.64,62.14,77.79,61.32
2017-04-25,31.47,71.76,116.13,80.04,77.99,96.58,87.15,62.18,80.67,61.48
2017-04-26,31.47,72.09,116.35,80.75,79.05,96.92,87.87,83.59,81.95,80.03
2017-04-27,31.47,73.75,117.47,84.38,79.48,97.01,107.32,85.91,81.95,80.64
2017-04-28,31.47,73.76,119.56,84.54,79.49,117.03,107.58,85.91,83.31,80.7
2017-04-29,31.57,74.76,119.91,84.61,79.49,156.44,135.64,85.91,83.35,80.7
2017-04-30,67.99,77.95,119.91,86.18,79.49,166.95,211.5,85.91,86.19,80.7
2017-05-01,69.53,80.42,119.92,87.07,79.5,167.99,217.89,85.96,91.32,80.7
2017-05-02,69.53,106.42,119.92,87.07,79.5,167.99,217.92,85.98,91.32,80.7
2017-05-03,69.53,108.86,122.35,87.59,92.72,167.99,218.22,86.65,91.32,81.51
2017-05-04,69.53,108.86,123.23,95.59,92.9,212.45,230.54,88.88,91.34,89.75
2017-05-05,69.53,108.86,125.65,99.2,107.04,214.7,238.03,89.04,91.75,91.47
2017-05-06,69.69,108.87,135.97,102.83,111.28,214.75,238.04,90.21,92.84,91.66
2017-05-07,72.49,108.87,136.21,121.16,113.61,216.74,238.09,94.16,107.03,150.66
2017-05-08,73.03,109.55,136.67,121.16,113.62,216.74,238.2,94.63,141.61,151.44
2017-05-09,73.17,109.55,136.67,121.16,113.63,216.74,238.25,101.02,141.61,151.44
2017-05-10,73.2,110.63,136.67,121.16,113.63,216.74,239.04,102.07,141.61,156.07
2017-05-11,73.2,110.63,136.67,121.51,113.63,216.74,239.04,110.21,141.63,176.21
2017-05-12,80.81,110.63,136.77,124.39,113.65,216.75,239.05,138.16,141.63,179.58
2017-05-13,82.5,110.63,137.56,130.0,116.65,217.05,239.05,154.31,141.63,180.89
2017-05-14,82.61,110.67,140.37,137.39,117.58,260.76,252.23,154.31,141.63,182.95
2017-05-15,82.77,110.67,140.42,186.94,117.6,265.19,272.05,154.31,142.04,182.95
2017-05-16,83.12,110.67,140.45,205.64,117.61,265.88,272.07,154.31,142.34,182.95
2017-05-17,88.96,110.67,143.14,208.08,117.61,265.9,273.12,160.44,142.34,182.97
2017-05-18,104.06,115.32,181.2,208.34,125.17,265.9,273.68,176.96,142.42,182.97
2017-05-19,105.43,115.65,182.77,208.78,138.01,265.9,273.68,177.14,143.04,182.97
2017-05-20,107.78,115.67,182.77,211.25,138.08,266.55,280.25,177.14,174.84,182.97
2017-05-21,107.96,116.11,183.08,211.72,138.15,266.58,281.2,177.16,182.62,182.97
2017-05-22,108.19,116.28,183.14,211.77,138.66,267.19,295.55,177.16,182.84,182.97
2017-05-23,108.2,116.28,183.14,212.78,139.4,269.55,296.89,177.16,182.84,182.97
2017-05-24,108.2,116.28,183.14,212.82,143.07,271.29,297.09,186.63,182.87,182.97
2017-05-25,108.23,116.35,183.17,212.84,144.62,271.56,297.2,199.16,183.67,183.04
2017-05-26,110.44,116.76,183.19,212.86,144.62,271.63,297.21,201.63,183.86,183.12
2017-05-27,121.13,142.75,191.45,229.85,144.62,271.63,297.22,201.76,189.48,187.33
