date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,obs,mean
2016-09-01,1,2.29,2.46,8.5,3.73,7.67,5.38,4.92,6.65,1.45,1.12,5.7,0.96,3.43,3.43,8.72,14.5,1.06,5.68,4.4,5.35,6.61,3.07,7.61,11.89,1.47,2.15,5.12
2016-09-02,1,36.84,13.37,53.11,62.62,31.23,16.32,34.6,40.3,43.55,57.35,30.26,4.08,50.16,22.32,32.73,65.21,24.38,54.13,44.04,26.56,43.58,46.81,29.14,6.79,52.36,4.96,36.87
2016-09-03,1,0.72,2.01,0.5,8.04,2.4,17.52,0.13,1.07,9.82,18.58,1.22,10.91,7.51,4.05,3.83,0.63,4.36,2.58,0.27,1.59,2.4,1.27,1.63,0.89,5.76,2.38,4.39
2016-09-04,1,0.85,2.19,0.01,2.08,39.14,0.72,0.04,1.88,3.28,1.68,5.48,16.88,0.01,0.02,0.01,0.01,0.03,0.31,6.84,0.01,0.0,0.59,1.21,0.0,0.0,10.88,3.33
2016-09-05,1,1.67,3.8,0.06,0.75,0.06,0.12,0.29,21.86,0.03,0.01,9.38,3.25,71.42,0.0,0.0,0.01,18.46,0.12,3.64,30.93,0.03,0.0,0.39,0.01,2.0,4.09,6.73
2016-09-06,1,0.02,0.21,0.1,0.22,0.04,0.2,0.03,0.06,0.82,0.49,0.65,0.09,6.21,0.05,0.0,0.01,0.98,0.22,0.65,0.41,0.03,0.05,0.01,0.01,0.12,0.02,0.47
2016-09-07,1,0.09,11.43,1.94,0.42,0.44,0.58,0.02,0.89,1.4,0.55,22.63,0.24,0.18,0.76,0.46,0.44,11.07,0.44,2.9,0.17,3.08,1.38,0.08,0.53,73.95,0.22,5.44
2016-09-08,1,0.24,16.66,1.95,0.8,1.16,0.11,0.25,0.17,1.79,1.3,9.28,0.48,1.67,1.06,0.61,0.46,0.7,0.7,0.9,2.49,12.91,1.52,1.1,2.36,55.3,5.68,4.64
2016-09-09,1,0.12,0.83,1.69,0.13,0.76,0.04,0.55,2.21,1.91,1.61,0.84,0.03,1.56,0.28,0.36,0.24,0.01,0.11,1.28,0.69,1.46,0.08,0.94,0.63,2.55,0.43,0.84
2016-09-10,1,0.06,0.16,1.97,0.32,4.3,0.13,2.68,13.48,1.34,2.17,0.0,0.01,0.26,0.8,2.29,0.12,0.96,1.1,17.36,79.71,0.88,0.12,0.17,0.04,0.13,1.89,5.22
2016-09-11,1,1.92,0.02,0.55,0.37,39.42,2.47,1.1,24.68,2.48,8.0,6.34,0.12,0.1,18.82,1.53,1.17,1.79,0.44,11.86,19.09,3.35,0.01,0.41,0.67,0.51,3.17,5.89
2016-09-12,1,0.78,2.25,6.56,0.33,1.35,1.91,1.0,48.89,15.67,1.35,0.92,0.17,0.6,21.37,0.35,0.29,3.53,0.01,0.14,6.48,0.01,0.17,0.1,0.64,21.01,0.69,5.44
2016-09-13,1,0.36,0.45,1.91,0.04,7.92,1.58,0.08,1.07,1.15,0.4,0.27,0.17,0.52,4.11,0.09,1.05,5.03,6.54,0.04,10.01,0.66,0.14,0.44,0.74,15.8,0.02,2.42
2016-09-14,1,0.75,0.86,0.09,0.0,0.22,0.08,0.01,0.12,0.0,0.43,0.64,0.45,8.27,0.8,0.13,2.51,6.01,17.8,0.01,0.06,0.01,0.65,0.7,3.85,1.82,0.43,1.85
2016-09-15,1,1.99,0.02,0.2,0.62,2.1,0.96,0.4,0.39,0.0,0.0,0.0,0.88,40.18,0.63,4.23,57.1,1.97,0.43,0.0,3.92,12.06,32.35,0.47,2.14,1.48,0.02,6.58
2016-09-16,1,17.65,0.41,1.2,0.19,5.5,0.31,31.76,0.1,0.0,0.45,0.32,1.83,14.05,4.72,6.3,0.89,0.38,0.03,6.53,2.4,0.33,18.45,0.75,0.87,0.55,0.55,4.64
2016-09-17,1,0.55,1.63,30.35,0.45,7.27,0.75,1.03,0.26,0.42,0.63,0.35,0.7,3.2,1.49,8.36,7.05,1.52,0.01,2.84,1.38,0.13,0.35,0.73,31.69,1.38,31.17,4.18
2016-09-18,1,0.0,0.22,1.18,0.06,0.7,0.23,0.29,1.2,0.46,7.93,0.49,0.77,1.99,11.2,3.9,1.18,0.25,10.87,1.17,5.11,0.15,0.05,0.9,71.87,10.66,1.69,5.31
2016-09-19,1,0.32,0.0,0.02,0.19,0.67,0.22,21.61,0.08,3.51,87.6,0.29,0.22,1.07,3.93,2.62,47.52,1.79,5.83,1.13,0.46,5.84,0.12,1.13,0.29,2.41,1.81,7.55
2016-09-20,1,0.01,0.28,0.06,0.69,7.32,0.11,4.51,0.42,0.07,2.68,0.02,0.61,1.6,0.03,0.4,8.36,0.99,1.13,0.41,0.73,0.42,17.63,0.25,1.68,0.28,0.84,2.03
2016-09-21,1,0.0,0.28,0.11,0.72,0.6,0.99,16.83,0.02,0.0,0.05,0.11,1.69,0.06,0.03,0.0,6.12,0.02,0.09,0.31,0.11,0.42,20.31,0.84,3.33,0.23,0.85,2.13
2016-09-22,1,0.03,8.06,0.22,0.74,0.07,0.04,0.0,0.01,0.01,0.0,0.27,0.03,0.05,0.06,0.01,6.64,0.11,0.0,0.34,0.16,0.02,1.86,0.13,0.98,1.0,0.04,0.83
2016-09-23,1,0.01,0.47,0.01,0.0,0.06,0.02,0.0,0.01,0.15,0.21,1.14,0.6,1.15,0.28,0.09,0.06,27.39,0.0,0.64,0.0,0.0,0.31,0.01,0.33,0.59,0.02,1.34
2016-09-24,1,0.0,-0.01,1.52,0.12,0.39,0.14,0.0,0.29,0.09,0.02,0.12,0.32,0.22,0.93,0.41,0.01,2.31,0.0,0.08,0.87,0.01,37.14,0.0,0.0,0.17,0.13,1.81
2016-09-25,1,0.11,1.3,4.91,0.01,0.0,0.67,0.05,0.01,0.01,0.26,0.15,0.0,0.36,1.0,0.02,11.03,1.18,3.26,0.0,0.34,0.07,10.87,0.06,4.08,0.03,0.01,1.59
2016-09-26,1,1.34,0.1,0.24,0.08,0.0,0.0,0.75,0.05,3.08,0.69,0.06,0.0,0.03,0.38,3.16,1.9,0.62,9.85,5.79,0.71,0.0,0.0,0.67,0.49,0.06,0.14,1.2
2016-09-27,1,0.0,0.03,0.96,0.12,0.07,0.0,2.33,0.14,1.16,0.89,0.0,0.0,0.0,0.87,0.04,0.09,0.08,0.12,12.16,0.65,4.63,0.05,0.01,0.14,1.84,2.36,1.06
2016-09-28,1,0.0,5.45,0.06,0.0,0.43,0.15,0.0,0.02,0.26,0.51,0.0,0.3,0.57,0.0,0.0,0.7,9.73,0.06,1.23,0.11,1.55,1.03,0.03,0.0,0.36,1.14,0.9
2016-09-29,1,0.13,0.37,0.51,0.03,0.02,3.55,0.1,0.16,0.0,0.0,0.0,0.0,0.0,2.11,0.0,0.12,0.0,0.01,0.89,0.0,0.0,46.48,0.1,0.06,0.68,0.12,2.21
2016-09-30,1,0.09,0.03,0.93,0.01,2.2,17.52,0.22,0.01,0.06,0.0,0.01,0.05,0.25,2.79,0.0,0.67,0.06,0.0,1.06,0.41,0.15,0.39,0.0,0.01,0.28,0.11,1.09
