date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,obs,mean
2017-06-01,1,12.29,5.7,5.0,7.09,6.66,7.15,8.53,7.41,7.0,6.56,4.78,4.78,7.63,6.47,8.33,8.01,6.56,5.93,8.79,8.72,5.11,8.12,3.63,6.15,5.2,5.25,7.6,3.74,7.61,7.27,6.47,3.44,6.79,4.71,6.76,5.62,4.51,4.69,5.31,5.31,5.42,5.13,6.32,3.98,5.81,6.37,5.76,3.76,4.84,6.85,7.25,12.71,6.24
2017-06-02,1,0.13,0.03,0.36,0.45,0.27,0.14,0.69,0.19,0.57,0.61,0.02,0.03,0.09,0.04,0.09,0.05,0.31,1.21,0.05,0.67,0.51,0.07,0.0,0.16,0.45,0.31,0.1,0.27,0.04,0.21,0.61,0.15,0.67,0.28,0.11,0.19,0.18,0.02,0.17,0.2,0.01,0.26,0.14,0.77,0.02,0.3,0.34,0.28,0.07,0.52,0.16,0.06,0.27
2017-06-03,1,0.52,0.4,0.65,0.14,0.55,0.07,0.65,0.22,0.64,0.89,0.38,0.04,0.38,0.18,1.32,0.1,0.24,2.53,0.19,0.67,0.53,0.26,0.32,0.19,0.22,0.19,0.31,0.23,0.04,0.29,0.53,0.84,0.49,0.32,0.23,0.75,0.34,0.48,0.43,0.73,0.27,0.31,1.52,0.51,0.07,0.49,0.63,0.29,0.46,0.67,0.13,0.0,0.47
2017-06-04,1,0.16,0.02,0.04,0.0,2.49,0.0,0.16,0.01,0.01,0.84,0.13,0.13,0.22,0.09,0.46,0.09,0.07,0.59,0.02,0.01,0.09,0.04,0.17,0.41,0.34,0.0,0.01,0.03,0.13,0.24,0.01,1.11,0.42,0.14,0.0,1.5,0.0,1.25,0.0,2.06,0.03,0.04,0.39,0.01,0.12,0.01,0.0,0.0,0.18,0.27,0.26,0.22,0.29
2017-06-05,1,0.01,0.52,0.0,0.0,0.0,0.01,1.29,0.0,0.0,0.07,0.0,0.0,0.01,0.04,0.51,0.13,0.0,0.01,0.01,0.0,0.2,0.55,0.03,0.0,0.0,0.0,0.04,0.0,0.01,0.0,0.15,0.0,0.01,0.31,0.01,0.02,0.49,0.07,0.0,0.03,0.0,0.0,0.01,0.0,0.07,0.03,0.0,0.23,0.02,0.0,0.7,0.0,0.11
2017-06-06,1,10.59,25.09,29.4,15.51,18.22,0.71,30.73,4.73,21.79,15.34,16.48,12.5,0.0,7.85,14.87,8.49,10.25,14.73,4.01,4.32,10.09,5.49,25.7,3.26,19.81,18.07,12.96,21.51,14.71,3.89,10.99,13.95,12.9,13.25,7.51,9.48,34.73,16.09,22.15,10.54,8.72,18.72,7.38,6.76,3.98,35.24,7.7,17.02,12.92,14.61,6.23,5.95,13.57
2017-06-07,1,1.73,0.8,1.15,0.84,0.73,25.15,0.0,13.73,2.01,1.38,1.32,2.67,0.01,1.05,0.01,1.95,1.59,1.49,0.28,2.11,3.22,0.0,0.02,0.13,1.88,0.55,0.44,0.61,8.25,2.28,6.05,0.76,1.02,0.56,0.64,12.09,0.53,0.11,1.63,0.28,3.86,2.31,2.33,2.12,0.12,0.1,1.55,6.17,1.33,1.44,0.31,7.58,2.41
2017-06-08,1,0.69,0.0,0.93,0.19,0.0,1.32,0.1,0.0,0.08,0.0,0.0,0.0,0.67,0.0,0.02,1.52,1.32,0.02,1.42,0.29,0.2,7.19,1.51,0.04,4.91,4.7,0.01,0.0,0.01,0.07,0.42,0.0,0.0,0.0,0.46,0.0,0.7,1.04,1.23,0.0,3.61,3.91,0.0,0.3,0.78,0.0,0.02,0.22,5.49,0.01,0.1,0.2,0.89
2017-06-09,1,0.01,0.0,0.33,0.04,0.06,1.46,0.1,0.05,0.02,12.9,0.4,0.0,0.87,0.04,0.02,0.84,0.0,15.4,1.14,0.0,0.01,1.91,1.34,1.24,0.05,0.9,0.01,0.06,0.0,0.52,0.02,0.15,0.01,0.08,1.44,0.0,1.45,20.12,0.0,0.0,0.02,0.07,0.0,0.0,0.1,0.08,0.01,0.11,0.22,0.0,0.17,0.05,1.25
2017-06-10,1,0.0,0.26,0.0,16.92,0.23,1.04,0.19,0.0,0.0,3.59,22.95,30.35,0.0,0.09,18.9,0.24,0.0,0.14,8.72,0.0,0.0,3.42,0.0,0.08,0.52,0.54,6.67,0.01,7.04,66.81,0.69,1.52,29.73,0.0,10.36,4.7,0.78,2.89,0.01,0.03,0.05,13.3,0.0,0.0,0.48,0.01,26.65,15.62,0.4,6.3,19.22,1.39,6.3
2017-06-11,1,4.65,0.01,0.0,6.32,0.07,0.02,0.0,30.94,15.26,0.01,0.04,0.13,0.0,22.53,1.89,0.0,0.0,0.0,8.36,14.4,0.0,1.45,0.0,0.12,5.4,0.01,36.43,0.0,0.85,1.08,0.22,1.61,10.47,0.15,10.59,7.35,0.08,0.01,0.0,39.71,0.2,4.33,35.67,0.58,2.28,0.0,0.04,0.28,2.15,3.49,1.77,0.0,5.31
2017-06-12,1,22.46,0.0,0.0,0.06,57.69,3.53,0.0,5.2,2.76,0.01,7.12,1.12,16.63,0.25,1.29,0.0,0.02,0.09,0.06,1.32,0.01,0.0,0.12,0.13,0.0,0.0,0.12,0.02,0.0,0.01,0.2,0.11,0.02,0.0,0.74,1.31,0.0,0.28,0.65,0.1,0.0,0.04,6.76,0.1,0.13,0.0,9.97,0.01,2.48,0.75,0.02,0.02,2.82
2017-06-13,1,0.22,0.04,0.1,0.02,1.61,0.77,0.03,0.0,8.96,0.0,6.13,0.04,0.0,0.52,18.3,0.0,0.02,1.1,0.0,0.05,0.04,0.0,2.02,0.0,0.05,8.66,0.03,0.76,0.31,0.08,0.17,0.0,0.09,0.25,0.0,0.44,0.0,16.19,0.04,0.04,0.22,0.35,0.01,0.15,0.0,19.41,1.8,2.09,0.43,0.01,0.04,3.9,1.8
2017-06-14,1,13.16,0.05,17.63,0.67,0.04,0.0,1.48,1.37,1.73,0.0,0.18,0.01,0.41,0.24,0.19,0.0,0.04,1.72,31.97,0.12,0.0,0.0,16.52,0.0,0.81,4.42,0.47,44.04,0.49,5.23,0.0,0.0,0.0,0.04,0.05,0.1,32.93,0.66,0.01,0.32,0.02,0.23,0.12,0.24,34.57,8.87,0.0,0.14,0.22,13.21,0.25,0.08,4.61
