month,obs,fore,factor
1,0.854659498207885,1.4163978494623652,0.6034035553868539
2,0.9917716535433069,1.4589960629921241,0.6797630772967073
3,1.622096774193548,2.3652688172043,0.6857980633722781
4,2.704092592592591,2.796129629629627,0.967084130842236
5,2.5096953405017897,3.2973655913978512,0.7611213470077655
6,4.19646296296296,5.614444444444447,0.7474404644105803
7,7.8987634408602085,7.221541218637995,1.0937780733667182
8,7.81387096774194,6.534713261648746,1.1957481001653705
9,4.130444444444444,4.487333333333334,0.9204674887337193
10,1.4031362007168449,1.779749103942652,0.788389890242674
11,1.27561111111111,1.5483518518518506,0.823850928705553
12,0.6558781362007166,1.303817204301075,0.5030445479911481
