date,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2011_1,8.229999999999999,26.240000000000002,8.319999999999995,16.730000000000008,23.820000000000007,11.730000000000002,7.589999999999999,19.220000000000002,12.529999999999994,9.149999999999999,16.97,8.619999999999996,24.13,15.589999999999998,35.28,20.03,7.549999999999999,9.679999999999996,8.889999999999999,15.669999999999996,12.33,9.190000000000001,7.519999999999998,20.589999999999996,8.949999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,14.56,2.45
2011_2,40.940000000000005,61.81,27.140000000000004,22.22,28.5,37.13000000000001,27.81,86.74,32.25,16.1,60.91999999999999,40.24,56.92000000000001,29.790000000000006,21.86,51.300000000000004,29.810000000000002,48.410000000000004,39.15,47.08,83.77000000000002,16.95,27.35,29.75,18.710000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,39.309999999999995,48.41
2011_3,68.37,29.310000000000002,55.68999999999999,31.870000000000005,46.19,58.510000000000005,39.910000000000004,12.450000000000001,26.950000000000003,41.489999999999995,36.870000000000005,49.480000000000004,37.77,48.18,37.879999999999995,100.26,24.890000000000004,15.94,39.82,83.19000000000001,47.09,48.91,46.86,10.090000000000002,147.15,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4,32.09
2011_4,80.41000000000001,33.629999999999995,179.17000000000002,185.94000000000005,129.72,56.980000000000004,50.74000000000001,53.559999999999995,85.28,58.790000000000006,27.889999999999997,67.49,101.72,77.49000000000001,9.65,30.02999999999999,72.99,52.02,94.59,70.44999999999999,54.45000000000001,72.5,49.6,112.12,103.52000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,76.43,165.15
2011_5,60.53,50.71,41.39999999999999,42.27000000000001,43.900000000000006,17.419999999999998,56.78,34.1,53.960000000000015,73.61000000000001,80.77,36.34000000000001,40.36999999999999,24.680000000000003,10.150000000000002,44.3,35.75000000000001,38.22000000000001,40.600000000000016,45.03000000000001,35.29,44.589999999999996,58.43,52.45999999999999,37.52999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,43.98,131.89
2011_6,162.02,70.68,83.93999999999997,159.98999999999998,40.55,107.12999999999998,134.93,88.36,201.97999999999996,184.30999999999997,363.32000000000005,79.14,173.56,103.01000000000002,74.27,79.02999999999997,72.49999999999999,151.83,186.42000000000002,114.10999999999999,96.79,53.59,83.33999999999999,133.62000000000003,98.07,,,,,,,,,,,,,,,,,,,,,,,,,,,123.86000000000001,414.22
2011_7,165.59,127.91999999999996,89.29,109.28000000000003,155.52999999999997,203.78000000000003,183.90000000000006,96.62999999999995,107.31,170.69000000000005,81.30000000000001,167.42999999999998,78.71,124.73999999999998,126.40000000000002,112.74,103.25,206.67999999999998,78.95000000000002,128.64000000000004,212.90999999999997,309.5199999999999,162.25,119.84000000000002,175.82000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,143.97,573.3200000000002
2011_8,240.95999999999998,186.57000000000002,252.32999999999998,116.8,254.44000000000003,244.74,303.12000000000006,299.6700000000001,187.48000000000002,207.59,111.99,284.32,245.4,303.3,124.00999999999998,232.25,193.11999999999998,151.16,212.91000000000003,160.79999999999993,185.48000000000005,428.80000000000007,109.66000000000001,366.0,229.03000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,225.27999999999997,273.9099999999999
2011_9,271.23999999999995,141.73999999999998,156.53000000000003,157.68,172.94,107.99,99.35,30.379999999999995,169.39999999999995,169.93999999999997,129.59999999999997,277.28000000000003,68.82,87.87,150.91,133.13,219.43,78.94000000000003,111.53000000000003,206.60999999999993,97.76999999999998,120.15000000000002,161.16000000000003,169.51000000000005,100.24999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,143.61,143.08999999999997
2011_10,28.430000000000003,16.61,19.619999999999997,68.83000000000001,34.17,33.79,18.569999999999997,8.379999999999999,8.719999999999999,17.84,12.839999999999996,88.96,25.28,37.1,73.41,21.5,45.13,24.33,21.789999999999996,20.749999999999996,9.649999999999995,35.56,26.03,8.739999999999998,19.05,,,,,,,,,,,,,,,,,,,,,,,,,,,29.010000000000005,51.06000000000001
2011_11,49.750000000000014,59.88,49.26000000000001,83.81,89.58000000000001,45.17000000000001,105.97000000000001,157.38,86.08,101.22999999999999,115.29999999999998,75.72000000000001,64.59,76.54,94.30999999999997,64.66,64.57000000000002,61.199999999999996,75.96000000000002,60.48000000000002,118.08999999999999,34.32000000000001,49.66,89.18,41.18,,,,,,,,,,,,,,,,,,,,,,,,,,,76.55000000000001,58.010000000000005
