date,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2011_1,13.65,43.44,13.77,27.7,39.5,19.42,12.6,31.78,20.76,15.160000000000002,28.089999999999996,14.28,40.01,25.85,58.47,33.16,12.5,16.07,14.7,25.97,20.42,15.26,12.449999999999998,34.13,14.79,,,,,,,,,,,,,,,,,,,,,,,,,,,24.15999999999999,2.45
2011_2,60.23,90.91,39.94,32.71,41.93,54.61,40.94,127.6,47.47,23.65,89.6,59.21,83.74,43.81,32.18,75.48,43.809999999999995,71.23,57.58,69.25,123.2,24.92,40.21999999999999,43.78,27.54,,,,,,,,,,,,,,,,,,,,,,,,,,,57.81999999999999,48.41
2011_3,99.72,42.76,81.19,46.51,67.34,85.33,58.19,18.16,39.31,60.52,53.74999999999999,72.14,55.09,70.24,55.27,146.22,36.27,23.270000000000003,58.06,121.26999999999998,68.67,71.34,68.35,14.71,214.58000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,69.14,32.09
2011_4,83.17,34.76,185.27000000000004,192.26,134.14,58.9,52.44,55.37,88.18,60.790000000000006,28.83,69.78,105.16,80.13,9.98,31.03,75.47,53.78,97.81,72.84,56.31,74.95,51.29,115.94,107.01,,,,,,,,,,,,,,,,,,,,,,,,,,,78.99000000000001,165.15
2011_5,79.49,66.61,54.349999999999994,55.49,57.64,22.87,74.57,44.8,70.88,96.72,106.11,47.72,53.04,32.37,13.31,58.18,46.94,50.23,53.34,59.18,46.34,58.56,76.74,68.93,49.28,,,,,,,,,,,,,,,,,,,,,,,,,,,57.71999999999999,131.89
2011_6,216.76,94.6,112.31,214.08,54.25,143.29,180.51,118.20999999999998,270.21,246.58,486.08,105.9,232.22,137.84,99.39,105.74,97.01,203.09,249.41,152.67,129.5,71.69,111.53,178.8,131.19,,,,,,,,,,,,,,,,,,,,,,,,,,,165.73,414.22
2011_7,151.41,116.96,81.64,99.92,142.16,186.32,168.14,88.35,98.12,156.04,74.31,153.07,71.97,114.02,115.58,103.1,94.42,188.94,72.2,117.63,194.67,282.97,148.36,109.57,160.76,,,,,,,,,,,,,,,,,,,,,,,,,,,131.61,573.3200000000002
2011_8,201.49,156.02,211.01,97.67,212.77,204.68,253.49,250.62,156.77,173.62,93.65,237.78,205.24,253.64,103.71,194.25,161.5,126.44,178.04,134.47,155.1,358.62,91.72,306.09,191.54,,,,,,,,,,,,,,,,,,,,,,,,,,,188.40999999999997,273.9099999999999
2011_9,294.67,153.98,170.03,171.29,187.85,117.33,107.9,33.0,184.01,184.62,140.8,301.23,74.75,95.45,163.98,144.61,238.4,85.77,121.17000000000002,224.46,106.23,130.55,175.1,184.15,108.9,,,,,,,,,,,,,,,,,,,,,,,,,,,155.98999999999998,143.08999999999997
2011_10,36.05,21.04,24.9,87.29,43.339999999999996,42.839999999999996,23.52,10.63,11.08,22.62,16.249999999999996,112.83,32.05,47.05,93.08,27.26,57.24,30.86,27.65,26.3,12.229999999999999,45.1,32.97999999999999,11.08,24.17,,,,,,,,,,,,,,,,,,,,,,,,,,,36.77,51.06000000000001
2011_11,60.36,72.67,59.79,101.74,108.76,54.82,128.58,191.0,104.46,122.87,139.92,91.91,78.39,92.92,114.48,78.5,78.36,74.28,92.2,73.42,143.34,41.64,60.29,108.28,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,92.89999999999996,58.010000000000005
2011_12,29.68,22.92,22.17,36.25,45.1,66.74,31.43,29.25,58.27,14.16,39.82,47.91,36.05,40.61,28.52,19.0,59.8,49.18,39.82,89.87,48.27,39.08,51.08,41.23,90.02,,,,,,,,,,,,,,,,,,,,,,,,,,,43.03999999999999,18.820000000000004
2012_1,16.7,27.08,53.94,26.75,16.52,31.509999999999998,28.9,38.56,37.74000000000001,42.81,9.85,14.82,22.25,72.85,12.58,20.370000000000005,39.97,16.18,37.84,31.43,24.75,39.4,35.24,19.58,36.65,,,,,,,,,,,,,,,,,,,,,,,,,,,30.16,11.16
2012_2,102.25,9.01,27.799999999999997,17.36,37.68,23.04,15.23,8.7,8.78,16.86,11.57,13.55,92.33,64.92,25.32,90.65,48.97,35.58,58.970000000000006,27.22,19.58,41.37,81.96,22.02,20.67,,,,,,,,,,,,,,,,,,,,,,,,,,,36.870000000000005,3.78
2012_3,52.87,59.26,65.87,60.86,100.48,40.66,104.24,69.41,64.14,79.13,119.76,71.11,40.27,120.52,99.38,81.15,107.58,47.24,86.77,43.36,74.16,59.11,90.84000000000002,68.47,76.62,,,,,,,,,,,,,,,,,,,,,,,,,,,75.31999999999998,68.13999999999999
2012_4,51.64,86.88,126.67,152.12,145.73,65.96,58.47,150.96,86.92,104.96,119.17,59.78,83.98,79.69,149.26,57.9,85.85,134.19,69.15,80.67,102.11,73.83,119.56,313.83,71.49,,,,,,,,,,,,,,,,,,,,,,,,,,,105.21,119.75000000000001
2012_5,90.71,73.8,38.97,33.88,55.96,62.56,87.43,106.98,55.9,70.89,56.06,87.49,65.45,33.35,52.63,37.61,92.89,14.43,62.59,64.73,40.06,41.04,143.68,8.13,57.17,,,,,,,,,,,,,,,,,,,,,,,,,,,61.36999999999999,49.30000000000001
2012_6,68.70999999999998,118.62,84.41,77.09,133.71,121.0,168.08,274.56,163.42,242.57,85.23,122.0,103.39,141.46,172.19999999999996,100.45,237.21,143.59,40.01,118.09,81.99,191.84,135.95,347.06,187.7,,,,,,,,,,,,,,,,,,,,,,,,,,,146.4,85.82999999999998
2012_7,235.06,127.76,245.07,278.92,320.38,204.5,429.2,128.24,285.61,138.06,192.12,81.33,465.79,48.61,205.53,91.04,120.67,273.14,179.24,445.85,116.92,255.36,274.82,173.53,88.98,,,,,,,,,,,,,,,,,,,,,,,,,,,216.22000000000003,328.1199999999999
2012_8,126.53,147.2,200.48,472.64,150.49,129.52,170.7,198.89,113.01,194.71000000000004,210.36,197.04,252.8,134.44999999999996,113.15,169.34,214.92999999999998,156.14,37.44,107.56,199.08,110.37,204.61,218.82,300.83,,,,,,,,,,,,,,,,,,,,,,,,,,,181.26,337.5
2012_9,62.67,144.15,42.3,60.45,87.62,197.71,83.73,93.75,94.62,70.51,216.02,221.92,112.35,117.92,86.66,95.87,85.85,111.70999999999998,217.86,152.72,71.82,75.68,293.31,108.91,158.06,,,,,,,,,,,,,,,,,,,,,,,,,,,122.55999999999997,168.89000000000001
2012_10,13.679999999999998,19.8,44.07,30.12,57.94,29.69,20.53,29.33,47.23,37.17,27.09,46.96,19.09,24.890000000000004,149.24,18.25,9.249999999999998,70.29,32.86,26.2,39.0,17.25,47.59,55.08,25.15,,,,,,,,,,,,,,,,,,,,,,,,,,,37.49999999999999,53.65
2012_11,69.8,78.47,47.21,45.24,59.5,77.56,132.25,83.24,49.88,37.4,70.05,78.89,63.41,63.04,44.07,66.11,132.18,34.58,30.63,46.290000000000006,33.91,79.95,71.88,54.17,85.94,,,,,,,,,,,,,,,,,,,,,,,,,,,65.42000000000002,50.82
2012_12,44.75,32.38,69.27,18.97,13.790000000000001,35.56,40.15,67.45,21.8,44.07,61.52,27.579999999999995,26.15,61.48,57.54,25.14,65.66,80.45,30.33,36.7,18.7,37.68,81.82,30.680000000000003,19.42,,,,,,,,,,,,,,,,,,,,,,,,,,,41.97,46.600000000000016
2013_1,32.72,15.15,25.96,8.4,24.929999999999996,40.220000000000006,13.51,34.76,49.0,32.93,48.49,33.91,32.06,42.19,23.58,44.86,19.25,44.07,30.95,29.66,25.2,13.17,45.830000000000005,17.84,11.12,,,,,,,,,,,,,,,,,,,,,,,,,,,29.609999999999996,28.35
2013_2,78.94,57.28,57.0,72.19000000000001,55.66,67.68,78.23,37.75,84.88,56.48,69.24,74.35,88.95,31.51,122.75,65.93,67.57,50.18,98.13000000000001,47.97,54.8,66.23,46.63,42.66,73.44,,,,,,,,,,,,,,,,,,,,,,,,,,,65.85,43.88000000000001
2013_3,88.11,65.46,129.03,5.07,57.85,62.230000000000004,72.11,118.13,27.26,75.63000000000001,44.68000000000001,83.06,45.06,27.43,78.64,51.99,29.23,48.309999999999995,12.01,98.97,83.8,119.05,44.36,58.55,28.07,,,,,,,,,,,,,,,,,,,,,,,,,,,62.169999999999995,48.90999999999999
2013_4,59.54,54.01,41.51,53.94,64.96,92.78,116.99,97.13,85.0,83.02,65.68,61.29,155.38,174.83,83.57,74.21,106.13,65.4,53.01,52.03999999999999,78.75,58.56,82.44,46.49,57.33,,,,,,,,,,,,,,,,,,,,,,,,,,,78.56000000000002,72.72
2013_5,142.07,48.13,79.03,26.67,48.99,155.83,98.95,44.5,98.05,171.88,94.16,97.18,166.28,93.82,99.03,89.41,42.63,65.47,69.57,84.76,132.73,72.34,55.52,71.1,104.32,,,,,,,,,,,,,,,,,,,,,,,,,,,90.09000000000002,97.83
2013_6,263.17,357.41,305.37,132.16,155.41,178.57,107.89,75.95,248.02,221.83,265.11,115.17,265.35,198.49,201.46,400.21,124.36,144.88,111.95,274.04,233.8,195.61,174.87,143.13,236.66,,,,,,,,,,,,,,,,,,,,,,,,,,,205.28,119.70999999999998
2013_7,270.76,319.39,344.16,247.47,281.33,177.49,295.97,268.25,180.19,138.41,431.59,248.91,301.41,279.26,280.1,192.96,428.01,274.75,276.58,212.81,398.13,374.1,367.11,146.24,166.6,,,,,,,,,,,,,,,,,,,,,,,,,,,276.08,454.03
2013_8,162.26,57.63,88.36,337.11,161.77,93.91,52.8,89.21,280.77,121.98,97.61,75.46,170.91,80.6,112.73,102.94,112.72,219.51,108.63999999999999,87.38,140.85,104.9,107.58,66.73,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,125.41999999999999,117.74999999999999
2013_9,94.07,63.22,47.36000000000001,95.51,92.42,211.12999999999997,92.14,117.25,22.17,15.07,62.94,123.05,42.66,54.28,166.04,79.42,54.85,117.91,94.31,70.28000000000002,67.39,65.61,174.79,22.69,140.5,,,,,,,,,,,,,,,,,,,,,,,,,,,87.51000000000002,137.04
2013_10,59.15,138.95,60.400000000000006,81.97,139.51,115.5,181.08,147.34,72.28,51.16,63.64,32.63,65.94,38.09,64.9,41.01,206.72,29.36,143.15,13.6,97.4,70.2,52.45,213.53,57.51,,,,,,,,,,,,,,,,,,,,,,,,,,,89.48,26.31
2013_11,85.06,70.95,26.24,31.52,39.81,23.49,29.73,48.38,104.72,46.26,15.119999999999997,11.7,30.23,41.93,31.36,7.96,36.61,52.18,46.08,32.98,39.78,41.82,25.21,41.25,36.93999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,39.919999999999995,48.309999999999995
2013_12,49.940000000000005,50.98,48.9,18.41,43.67,45.41,52.07,17.17,90.17,42.43,37.78,19.36,31.91,25.51,9.08,15.17,22.44,14.89,53.42,17.97,9.920000000000002,66.3,17.93,21.05,50.14000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,34.88,22.51
2014_1,42.13,22.7,60.379999999999995,74.74,103.56,9.39,13.27,43.67,44.38,25.18,45.47,12.450000000000001,19.47,16.16,35.71,26.14,54.73,31.05,32.07,95.68,27.37,54.28,22.84,13.14,112.12,,,,,,,,,,,,,,,,,,,,,,,,,,,41.54999999999999,12.26
2014_2,39.67,33.25,55.77,100.16,60.17,70.3,74.78,41.96,61.34,56.32,36.8,39.2,89.31,105.13,20.16,16.6,41.87,36.98,66.15,90.5,114.49999999999999,79.46,40.15,60.62,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,58.57000000000001,26.100000000000005
2014_3,21.19,96.78,45.97999999999999,81.25,121.73,115.72,69.55,25.71,70.08,80.59,51.7,46.37,124.5,74.36,31.43,66.44,24.64,74.8,24.4,39.29,53.86,60.34,36.27,117.8,88.73,,,,,,,,,,,,,,,,,,,,,,,,,,,65.78,36.81999999999999
2014_4,29.26,98.55,83.68,23.51,54.02,76.3,154.79,99.83,77.37,31.97,38.0,37.97,51.44,64.83,85.03,48.43000000000001,76.91,102.86,41.84,83.16,91.70000000000002,18.870000000000005,93.42,117.19,45.99,,,,,,,,,,,,,,,,,,,,,,,,,,,69.07,53.77
2014_5,102.89,21.34,59.2,37.83,49.3,160.62,25.9,123.68000000000002,86.52,193.89,51.63,97.32,118.22,42.94,76.54,86.07,87.81,40.39,87.37,73.76999999999998,112.0,100.94,82.67,108.14,104.19,,,,,,,,,,,,,,,,,,,,,,,,,,,85.23,36.50000000000001
2014_6,239.21,83.49999999999999,154.47,113.41,92.19,70.6,126.39000000000001,117.08,179.62,115.92,125.69,95.46,126.03,60.15,166.61,115.82,141.52,147.7,163.99,153.96000000000004,140.07,134.53,96.59,232.96,166.48,,,,,,,,,,,,,,,,,,,,,,,,,,,134.41,88.53
2014_7,230.88,136.81,294.8,364.74,134.1,159.81,290.75,110.26,208.10000000000002,234.84,404.47,81.83,115.39,105.44,198.53,237.43,299.35,263.74,277.12,375.18000000000006,143.41,249.07,132.91,72.17,274.17,,,,,,,,,,,,,,,,,,,,,,,,,,,215.8,101.26
2014_8,191.23,306.78,160.8,188.65,310.7,339.3,306.2,227.12,229.1,275.82,182.58,235.50000000000003,274.91,231.54,365.49,297.34,208.26999999999998,229.54,438.37,210.18,186.78,216.3,190.95,324.33,358.38,,,,,,,,,,,,,,,,,,,,,,,,,,,259.44000000000005,265.93999999999994
2014_9,84.82,66.6,95.35,96.98,105.95,97.47999999999999,61.8,146.87,20.85,58.21,57.58,57.03,92.53,72.4,84.47,113.43,93.09,92.66,64.73,105.22,83.90000000000002,56.089999999999996,232.75,103.17,156.66,,,,,,,,,,,,,,,,,,,,,,,,,,,92.05000000000001,124.97
2014_10,38.77,17.62,19.05,98.89,43.05,46.74,53.79,52.02,23.3,12.88,6.57,26.47,26.59,50.35,61.41,37.21,66.07,38.209999999999994,76.08,27.96,49.65,19.37,29.8,70.4,101.21,,,,,,,,,,,,,,,,,,,,,,,,,,,43.720000000000006,123.86000000000001
2014_11,47.51,18.46,73.91,81.33999999999999,9.36,37.16,25.56,29.32,46.86,19.51,59.17,73.56,68.22,22.17,40.26,56.24,22.22,20.26,24.4,19.13,81.19,22.45,21.34,28.81,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,38.550000000000004,25.96
2014_12,12.3,74.53,40.85,39.91,17.71,20.77,17.74,22.21,40.730000000000004,24.86,31.73,35.19,87.15,32.07999999999999,35.4,24.83,52.63,19.1,85.59,44.93,55.62,17.55,31.55,21.3,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,36.519999999999996,13.76
2015_1,36.59,49.53,77.04,36.58,37.21,18.48,12.56,25.729999999999997,46.46,19.88,29.35,49.74,20.59,81.6,29.62,17.7,15.76,36.61,46.77,32.06,27.5,41.61,51.43,24.65,8.29,,,,,,,,,,,,,,,,,,,,,,,,,,,34.92,13.69
2015_2,18.32,16.99,47.83,89.37999999999998,37.08,73.03,66.17,11.65,29.12,92.57,15.74,33.64,34.45,20.88,112.61,31.089999999999996,28.52,63.58,32.93,67.23,46.8,11.4,41.03,18.89,64.07000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,44.17,18.810000000000002
2015_3,49.9,15.61,85.41,42.31,89.30000000000001,36.21,40.68,96.75,60.84,69.81000000000002,62.68,49.580000000000005,20.96,73.89,62.400000000000006,118.6,83.84,64.27,34.07,30.74,49.29,52.65,47.95,47.61999999999999,24.24,,,,,,,,,,,,,,,,,,,,,,,,,,,56.379999999999995,26.630000000000006
2015_4,48.75,119.97,137.46,91.42,39.95,91.8,156.62,141.93,127.08,51.34,147.47,172.34,71.86,113.75,132.44,35.56,172.95,101.9,105.07,143.65,95.24,147.84,119.44,103.31,141.78,,,,,,,,,,,,,,,,,,,,,,,,,,,112.45,73.79000000000003
2015_5,99.21000000000001,121.46,77.03000000000002,89.94,73.62,48.74,150.38000000000002,43.96,67.09,50.37,69.51,115.66,36.32,67.93,132.52,184.96,106.27,48.2,102.95,77.82,213.98,82.07,78.58,112.92,129.02,,,,,,,,,,,,,,,,,,,,,,,,,,,95.18000000000002,27.42
2015_6,402.46,65.01,252.96,471.92,136.71,62.64,206.26,112.59,362.91,110.03,162.95,233.19,101.81,154.79,50.79,235.02,98.71,87.29,164.88,72.28000000000002,109.36,116.93,205.92,187.91000000000003,255.79,,,,,,,,,,,,,,,,,,,,,,,,,,,176.83999999999997,96.48
2015_7,147.11,201.86,59.43,120.47,109.91,347.08,209.2,175.1,370.16,111.83,112.05,424.33,89.32,103.85,92.18,227.6,220.78,223.86,371.49,83.42,235.45000000000002,81.38,219.53000000000003,177.50000000000003,176.4,,,,,,,,,,,,,,,,,,,,,,,,,,,187.66000000000003,166.85000000000002
2015_8,214.36,70.97,114.66,141.84,367.83,145.21000000000004,257.5,186.67,164.53,229.05,111.35,95.02,99.7,86.63,103.88,237.86999999999998,92.49,151.86,63.72,237.04,113.09,211.21,132.54,100.75,153.25,,,,,,,,,,,,,,,,,,,,,,,,,,,155.31999999999996,107.5
