date,month,CRPS_3
2011_1,1,21.03940799999998
2011_2,2,25.791551999999946
2011_3,3,64.04822399999999
2011_4,4,338.1252800000001
2011_5,5,576.4533120000003
2011_6,6,715.0296
2011_7,7,504.9336320000001
2011_8,8,53.77100799999995
2011_9,9,30.954991999999926
2011_10,10,12.575967999999996
2011_11,11,63.155247999999965
2011_12,12,80.77168
2012_1,1,49.376480000000015
2012_2,2,10.295695999999989
2012_3,3,15.904960000000049
2012_4,4,50.86911999999991
2012_5,5,64.32647999999995
2012_6,6,197.48878399999984
2012_7,7,212.91940800000003
2012_8,8,81.07001600000007
2012_9,9,39.022383999999995
2012_10,10,15.59641600000002
2012_11,11,12.372032
2012_12,12,10.118496000000036
2013_1,1,23.170480000000026
2013_2,2,47.48403200000007
2013_3,3,17.92064000000009
2013_4,4,17.390095999999915
2013_5,5,108.36459199999996
2013_6,6,70.52734399999997
2013_7,7,86.68059199999995
2013_8,8,43.59676799999997
2013_9,9,29.208800000000018
2013_10,10,45.269728000000015
2013_11,11,18.770640000000007
2013_12,12,34.56567999999996
2014_1,1,74.30166399999993
2014_2,2,73.024768
2014_3,3,93.69459199999999
2014_4,4,76.41224000000001
2014_5,5,128.31665599999997
2014_6,6,52.840431999999836
2014_7,7,42.4479359999999
2014_8,8,48.45425600000002
2014_9,9,42.78852799999995
2014_10,10,31.276944000000004
2014_11,11,44.297280000000015
2014_12,12,48.07574399999996
2015_1,1,82.71817600000001
2015_2,2,66.93009599999995
2015_3,3,84.36089599999994
2015_4,4,122.44187199999995
2015_5,5,98.95120000000007
2015_6,6,180.955648
2015_7,7,92.4258719999999
2015_8,8,111.84199999999998
2015_9,9,21.295168000000032
2015_10,10,15.321936000000004
2015_11,11,39.095632000000045
2015_12,12,45.76633600000001
2016_1,1,77.46361599999997
2016_2,2,23.75299199999999
2016_3,3,75.85142399999998
2016_4,4,96.30772800000014
2016_5,5,37.99323199999989
2016_6,6,39.809664000000055
2016_7,7,51.64596800000001
2016_8,8,70.93563199999994
2016_9,9,24.583552000000026
2016_10,10,13.022063999999936
2016_11,11,11.970416000000032
2016_12,12,21.99216
2017_1,1,59.690184544406044
2017_2,2,49.36712418300645
2017_3,3,82.41356785851596
2017_4,4,112.0156324490581
2017_5,5,53.677604767397284
2017_6,6,120.75189542483653
2017_7,7,63.54564782775843
2017_8,8,70.81769703959996
2017_9,9,48.458581314878906
2017_10,10,58.46918492887346
2017_11,11,45.81691272587463
2017_12,12,36.371014994233036
2018_1,1,16.92913494809686
2018_2,2,30.750161476355277
2018_3,3,74.7543790849673
2018_4,4,36.47946174548234
2018_5,5,39.45589004229123
2018_6,6,87.00113033448697
2018_7,7,163.06564398308353
2018_8,8,217.1955094194542
2018_9,9,57.649965397923914
2018_10,10,21.270176855055837
2018_11,11,22.71163783160323
2018_12,12,49.242118415993836
2019_1,1,56.095140330642096
2019_2,2,81.88526336024611
2019_3,3,95.22949250288339
2019_4,4,88.04968089196453
2019_5,5,85.0067474048443
2019_6,6,113.29461361014977
2019_7,7,43.55414840445978
2019_8,8,39.065328719723226
2019_9,9,25.383060361399473
2019_10,10,76.65065743944632
2019_11,11,12.001707035755416
2019_12,12,11.374632833525567
2020_1,1,47.338446751249535
2020_2,2,102.7986159169549
2020_3,3,91.84824682814315
2020_4,4,48.16222222222222
2020_5,5,32.44316416762781
2020_6,6,194.98168396770453
2020_7,7,391.60238754325286
2020_8,8,150.40538638984998
2020_9,9,37.99093425605538
2020_10,10,42.05499807766246
2020_11,11,37.41933487120341
2020_12,12,70.7102191464821
