date,month,CRPS_4
2011_1,1,58.05686399999998
2011_2,2,110.572544
2011_3,3,370.3470720000002
2011_4,4,713.252096
2011_5,5,723.9395199999999
2011_6,6,655.0892799999999
2011_7,7,484.0036320000002
2011_8,8,61.15513599999984
2011_9,9,23.83803199999999
2011_10,10,12.253488000000033
2011_11,11,47.643984
2011_12,12,18.13516799999999
2012_1,1,14.718719999999973
2012_2,2,14.303567999999924
2012_3,3,20.239376000000007
2012_4,4,58.26030399999998
2012_5,5,212.8770879999997
2012_6,6,202.11076799999995
2012_7,7,177.0411199999998
2012_8,8,83.05812799999993
2012_9,9,63.73603200000007
2012_10,10,41.261823999999976
2012_11,11,26.855312000000023
2012_12,12,23.681008000000013
2013_1,1,9.557535999999992
2013_2,2,14.181680000000043
2013_3,3,25.951679999999946
2013_4,4,198.74470400000013
2013_5,5,55.91212800000012
2013_6,6,82.37385599999996
2013_7,7,50.48091199999993
2013_8,8,41.03028800000014
2013_9,9,44.01135999999999
2013_10,10,26.020255999999954
2013_11,11,10.126688000000023
2013_12,12,18.016191999999997
2014_1,1,60.87713600000002
2014_2,2,61.05988800000007
2014_3,3,67.71652799999997
2014_4,4,125.49094400000008
2014_5,5,47.890543999999906
2014_6,6,72.13099199999998
2014_7,7,43.776463999999976
2014_8,8,27.450000000000067
2014_9,9,61.10129599999995
2014_10,10,49.94156799999999
2014_11,11,19.820399999999957
2014_12,12,37.13769600000004
2015_1,1,40.49161600000001
2015_2,2,71.5972959999999
2015_3,3,47.37334400000005
2015_4,4,137.3527999999999
2015_5,5,172.88419199999987
2015_6,6,265.85854399999994
2015_7,7,113.23593600000012
2015_8,8,59.904144000000045
2015_9,9,16.167103999999917
2015_10,10,29.530160000000034
2015_11,11,13.71454399999999
2015_12,12,27.77407999999997
2016_1,1,24.949871999999942
2016_2,2,13.565791999999952
2016_3,3,45.22760000000005
2016_4,4,74.24198399999995
2016_5,5,43.069424
2016_6,6,65.14679999999998
2016_7,7,56.95476799999997
2016_8,8,88.95344000000013
2016_9,9,22.164000000000073
2016_10,10,18.564959999999985
2016_11,11,8.70780800000004
2016_12,12,10.964639999999974
2017_1,1,38.575371011149464
2017_2,2,54.3074817377932
2017_3,3,60.12761630142253
2017_4,4,58.19608996539806
2017_5,5,72.53158785082647
2017_6,6,56.24593233371813
2017_7,7,45.0429565551709
2017_8,8,87.81341022683576
2017_9,9,33.39067666282193
2017_10,10,38.27715109573242
2017_11,11,23.39623990772775
2017_12,12,10.489365628604439
2018_1,1,39.339703960015314
2018_2,2,179.3646366782008
2018_3,3,81.2078546712803
2018_4,4,73.01846981930021
2018_5,5,107.91678585159552
2018_6,6,111.14976547481756
2018_7,7,187.19341407151114
2018_8,8,221.95175317185735
2018_9,9,91.14103806228368
2018_10,10,33.019873125720906
2018_11,11,7.913556324490568
2018_12,12,12.801853133410265
2019_1,1,34.48978469819298
2019_2,2,84.32874279123423
2019_3,3,50.54325643983072
2019_4,4,112.8511264898117
2019_5,5,126.44900807381806
2019_6,6,100.54958093041145
2019_7,7,47.993813917724054
2019_8,8,43.997143406382094
2019_9,9,28.62570549788539
2019_10,10,11.566305267204974
2019_11,11,57.62439446366784
2019_12,12,11.451164936562787
2020_1,1,35.45783929257986
2020_2,2,34.08221068819674
2020_3,3,48.86934256055369
2020_4,4,28.360465205690048
2020_5,5,223.24011149557862
2020_6,6,240.49303344867343
2020_7,7,306.2850057670128
2020_8,8,122.28731257208783
2020_9,9,25.498012302960312
2020_10,10,34.22521722414462
2020_11,11,33.09868896578236
2020_12,12,11.042845059592448
