catchment,date,month,leadtime,CRPS,CRPS_ref,CRPSS,count
A,2011_1,1,1,8.334,10.15,0.179,1.0
A,2011_2,2,1,7.93,18.255,0.566,1.0
A,2011_3,3,1,7.191,5.8,-0.24,0.0
A,2011_4,4,1,69.477,78.034,0.11,1.0
A,2011_5,5,1,79.747,25.145,-2.171,0.0
A,2011_6,6,1,257.543,231.708,-0.111,0.0
A,2011_7,7,1,401.173,223.339,-0.796,0.0
A,2011_8,8,1,33.193,32.884,-0.009,0.0
A,2011_9,9,1,13.164,41.496,0.683,1.0
A,2011_10,10,1,18.16,10.313,-0.761,0.0
A,2011_11,11,1,9.569,21.825,0.562,1.0
A,2011_12,12,1,2.001,4.134,0.516,1.0
A,2012_1,1,1,3.704,3.31,-0.119,0.0
A,2012_2,2,1,11.15,9.667,-0.153,0.0
A,2012_3,3,1,10.546,22.309,0.527,1.0
A,2012_4,4,1,17.408,41.124,0.577,1.0
A,2012_5,5,1,4.947,26.877,0.816,1.0
A,2012_6,6,1,12.339,36.756,0.664,1.0
A,2012_7,7,1,64.23,31.902,-1.013,0.0
A,2012_8,8,1,93.446,47.38,-0.972,0.0
A,2012_9,9,1,42.952,49.268,0.128,1.0
A,2012_10,10,1,19.707,10.826,-0.82,0.0
A,2012_11,11,1,4.768,17.681,0.73,1.0
A,2012_12,12,1,19.8,27.409,0.278,1.0
A,2013_1,1,1,6.478,7.325,0.116,1.0
A,2013_2,2,1,2.987,15.235,0.804,1.0
A,2013_3,3,1,6.556,11.29,0.419,1.0
A,2013_4,4,1,6.633,12.328,0.462,1.0
A,2013_5,5,1,20.753,8.346,-1.487,0.0
A,2013_6,6,1,20.236,17.452,-0.16,0.0
A,2013_7,7,1,104.177,119.486,0.128,1.0
A,2013_8,8,1,12.434,98.371,0.874,1.0
A,2013_9,9,1,40.07,40.151,0.002,1.0
A,2013_10,10,1,22.33,9.605,-1.325,0.0
A,2013_11,11,1,12.191,16.287,0.251,1.0
A,2013_12,12,1,3.729,6.57,0.432,1.0
A,2014_1,1,1,5.595,2.934,-0.907,0.0
A,2014_2,2,1,6.652,4.991,-0.333,0.0
A,2014_3,3,1,6.413,6.578,0.025,1.0
A,2014_4,4,1,10.21,8.456,-0.207,0.0
A,2014_5,5,1,16.193,36.406,0.555,1.0
A,2014_6,6,1,7.886,34.956,0.774,1.0
A,2014_7,7,1,79.948,129.559,0.383,1.0
A,2014_8,8,1,23.974,32.884,0.271,1.0
A,2014_9,9,1,31.262,38.329,0.184,1.0
A,2014_10,10,1,78.691,56.955,-0.382,0.0
A,2014_11,11,1,5.163,5.031,-0.026,0.0
A,2014_12,12,1,2.342,2.099,-0.116,0.0
A,2015_1,1,1,3.788,2.522,-0.502,0.0
A,2015_2,2,1,5.476,4.387,-0.248,0.0
A,2015_3,3,1,6.529,6.318,-0.033,0.0
A,2015_4,4,1,24.167,12.684,-0.905,0.0
A,2015_5,5,1,27.442,44.413,0.382,1.0
A,2015_6,6,1,19.209,29.656,0.352,1.0
A,2015_7,7,1,29.196,71.337,0.591,1.0
A,2015_8,8,1,37.373,106.343,0.649,1.0
A,2015_9,9,1,54.77,56.4,0.029,1.0
A,2015_10,10,1,8.906,12.117,0.265,1.0
A,2015_11,11,1,16.601,81.328,0.796,1.0
A,2015_12,12,1,2.876,9.489,0.697,1.0
A,2016_1,1,1,13.068,9.724,-0.344,0.0
A,2016_2,2,1,20.732,19.735,-0.051,0.0
A,2016_3,3,1,24.375,6.15,-2.963,0.0
A,2016_4,4,1,13.161,26.02,0.494,1.0
A,2016_5,5,1,17.675,14.255,-0.24,0.0
A,2016_6,6,1,41.001,68.942,0.405,1.0
A,2016_7,7,1,63.912,89.005,0.282,1.0
A,2016_8,8,1,41.508,105.977,0.608,1.0
A,2016_9,9,1,27.389,35.656,0.232,1.0
A,2016_10,10,1,12.674,27.713,0.543,1.0
A,2016_11,11,1,10.079,5.343,-0.886,0.0
A,2016_12,12,1,27.244,36.389,0.251,1.0
A,2017_1,1,1,2.134,2.608,0.182,1.0
A,2017_2,2,1,3.889,4.412,0.119,1.0
A,2017_3,3,1,5.849,6.812,0.141,1.0
A,2017_4,4,1,8.759,10.428,0.16,1.0
A,2017_5,5,1,26.313,48.44,0.457,1.0
A,2017_6,6,1,23.911,42.449,0.437,1.0
A,2017_7,7,1,61.791,109.22,0.434,1.0
A,2017_8,8,1,30.692,33.091,0.072,1.0
A,2017_9,9,1,20.6,49.676,0.585,1.0
A,2017_10,10,1,23.959,8.857,-1.705,0.0
A,2017_11,11,1,5.344,5.57,0.041,1.0
A,2017_12,12,1,4.535,3.494,-0.298,0.0
A,2018_1,1,1,2.814,3.936,0.285,1.0
A,2018_2,2,1,3.724,5.54,0.328,1.0
A,2018_3,3,1,6.578,25.762,0.745,1.0
A,2018_4,4,1,16.174,52.192,0.69,1.0
A,2018_5,5,1,83.309,71.607,-0.163,0.0
A,2018_6,6,1,16.367,30.796,0.469,1.0
A,2018_7,7,1,18.592,43.545,0.573,1.0
A,2018_8,8,1,119.412,43.83,-1.724,0.0
A,2018_9,9,1,22.759,51.414,0.557,1.0
A,2018_10,10,1,28.801,53.636,0.463,1.0
A,2018_11,11,1,13.77,21.081,0.347,1.0
A,2018_12,12,1,8.572,13.444,0.362,1.0
A,2019_1,1,1,14.124,11.655,-0.212,0.0
A,2019_2,2,1,6.692,12.308,0.456,1.0
A,2019_3,3,1,5.568,10.597,0.475,1.0
A,2019_4,4,1,7.385,9.117,0.19,1.0
A,2019_5,5,1,15.84,48.591,0.674,1.0
A,2019_6,6,1,14.868,33.676,0.558,1.0
A,2019_7,7,1,25.868,63.345,0.592,1.0
A,2019_8,8,1,28.176,92.127,0.694,1.0
A,2019_9,9,1,17.148,52.581,0.674,1.0
A,2019_10,10,1,33.042,29.16,-0.133,0.0
A,2019_11,11,1,28.817,32.228,0.106,1.0
A,2019_12,12,1,2.286,1.992,-0.148,0.0
A,2020_1,1,1,11.062,47.927,0.769,1.0
A,2020_2,2,1,14.418,24.877,0.42,1.0
A,2020_3,3,1,20.385,6.641,-2.07,0.0
A,2020_4,4,1,19.366,17.404,-0.113,0.0
A,2020_5,5,1,32.843,10.89,-2.016,0.0
A,2020_6,6,1,15.873,33.516,0.526,1.0
A,2020_7,7,1,22.829,29.386,0.223,1.0
A,2020_8,8,1,102.303,160.881,0.364,1.0
A,2020_9,9,1,15.485,65.491,0.764,1.0
A,2020_10,10,1,15.226,22.673,0.328,1.0
A,2020_11,11,1,6.237,9.726,0.359,1.0
A,2020_12,12,1,1.95,3.434,0.432,1.0
A,2011_1,1,2,10.48,8.72,-0.202,0.0
A,2011_2,2,2,7.722,15.716,0.509,1.0
A,2011_3,3,2,49.779,69.042,0.279,1.0
A,2011_4,4,2,134.268,101.523,-0.323,0.0
A,2011_5,5,2,301.382,265.118,-0.137,0.0
A,2011_6,6,2,647.367,443.906,-0.458,0.0
A,2011_7,7,2,479.637,161.082,-1.978,0.0
A,2011_8,8,2,32.7,73.985,0.558,1.0
A,2011_9,9,2,16.152,38.573,0.581,1.0
A,2011_10,10,2,22.044,22.077,0.001,1.0
A,2011_11,11,2,13.908,24.159,0.424,1.0
A,2011_12,12,2,9.295,3.646,-1.549,0.0
A,2012_1,1,2,23.823,15.173,-0.57,0.0
A,2012_2,2,2,6.214,12.046,0.484,1.0
A,2012_3,3,2,41.216,60.731,0.321,1.0
A,2012_4,4,2,17.529,16.86,-0.04,0.0
A,2012_5,5,2,21.285,71.416,0.702,1.0
A,2012_6,6,2,83.08,29.218,-1.843,0.0
A,2012_7,7,2,160.223,52.932,-2.027,0.0
A,2012_8,8,2,69.548,70.133,0.008,1.0
A,2012_9,9,2,43.926,46.722,0.06,1.0
A,2012_10,10,2,24.199,19.01,-0.273,0.0
A,2012_11,11,2,17.873,43.974,0.594,1.0
A,2012_12,12,2,23.054,34.142,0.325,1.0
A,2013_1,1,2,11.007,22.858,0.518,1.0
A,2013_2,2,2,5.45,23.219,0.765,1.0
A,2013_3,3,2,11.822,14.295,0.173,1.0
A,2013_4,4,2,20.864,17.115,-0.219,0.0
A,2013_5,5,2,24.534,16.842,-0.457,0.0
A,2013_6,6,2,147.284,93.803,-0.57,0.0
A,2013_7,7,2,56.773,47.844,-0.187,0.0
A,2013_8,8,2,28.78,115.512,0.751,1.0
A,2013_9,9,2,31.374,35.15,0.107,1.0
A,2013_10,10,2,15.274,9.7,-0.575,0.0
A,2013_11,11,2,12.872,20.142,0.361,1.0
A,2013_12,12,2,4.087,4.748,0.139,1.0
A,2014_1,1,2,10.618,4.795,-1.214,0.0
A,2014_2,2,2,15.6,9.331,-0.672,0.0
A,2014_3,3,2,27.074,11.981,-1.26,0.0
A,2014_4,4,2,24.239,38.936,0.377,1.0
A,2014_5,5,2,26.092,80.394,0.675,1.0
A,2014_6,6,2,103.441,178.763,0.421,1.0
A,2014_7,7,2,38.637,139.269,0.723,1.0
A,2014_8,8,2,27.379,78.699,0.652,1.0
A,2014_9,9,2,81.916,55.485,-0.476,0.0
A,2014_10,10,2,68.168,55.301,-0.233,0.0
A,2014_11,11,2,6.281,5.804,-0.082,0.0
A,2014_12,12,2,5.869,3.525,-0.665,0.0
A,2015_1,1,2,14.117,4.495,-2.141,0.0
A,2015_2,2,2,21.745,8.956,-1.428,0.0
A,2015_3,3,2,18.436,10.532,-0.75,0.0
A,2015_4,4,2,67.545,31.978,-1.112,0.0
A,2015_5,5,2,29.162,81.398,0.642,1.0
A,2015_6,6,2,105.434,113.394,0.07,1.0
A,2015_7,7,2,67.061,219.785,0.695,1.0
A,2015_8,8,2,111.829,190.115,0.412,1.0
A,2015_9,9,2,37.428,49.94,0.251,1.0
A,2015_10,10,2,58.212,79.23,0.265,1.0
A,2015_11,11,2,16.592,91.604,0.819,1.0
A,2015_12,12,2,12.759,3.597,-2.547,0.0
A,2016_1,1,2,5.047,10.311,0.511,1.0
A,2016_2,2,2,8.646,14.947,0.422,1.0
A,2016_3,3,2,19.853,16.992,-0.168,0.0
A,2016_4,4,2,18.792,17.615,-0.067,0.0
A,2016_5,5,2,65.055,84.536,0.23,1.0
A,2016_6,6,2,62.092,33.846,-0.835,0.0
A,2016_7,7,2,46.665,56.605,0.176,1.0
A,2016_8,8,2,98.901,158.658,0.377,1.0
A,2016_9,9,2,17.538,35.143,0.501,1.0
A,2016_10,10,2,10.635,16.076,0.338,1.0
A,2016_11,11,2,15.15,19.731,0.232,1.0
A,2016_12,12,2,18.575,28.747,0.354,1.0
A,2017_1,1,2,5.341,4.667,-0.144,0.0
A,2017_2,2,2,15.355,8.569,-0.792,0.0
A,2017_3,3,2,13.929,12.081,-0.153,0.0
A,2017_4,4,2,42.979,39.176,-0.097,0.0
A,2017_5,5,2,46.902,104.078,0.549,1.0
A,2017_6,6,2,100.661,56.723,-0.775,0.0
A,2017_7,7,2,68.911,65.791,-0.047,0.0
A,2017_8,8,2,74.63,99.688,0.251,1.0
A,2017_9,9,2,25.015,64.026,0.609,1.0
A,2017_10,10,2,23.675,11.241,-1.106,0.0
A,2017_11,11,2,5.147,7.463,0.31,1.0
A,2017_12,12,2,3.843,3.525,-0.09,0.0
A,2018_1,1,2,3.434,4.718,0.272,1.0
A,2018_2,2,2,17.749,28.913,0.386,1.0
A,2018_3,3,2,30.982,77.327,0.599,1.0
A,2018_4,4,2,108.476,121.317,0.106,1.0
A,2018_5,5,2,36.787,25.995,-0.415,0.0
A,2018_6,6,2,25.855,77.934,0.668,1.0
A,2018_7,7,2,78.808,53.389,-0.476,0.0
A,2018_8,8,2,141.556,70.133,-1.018,0.0
A,2018_9,9,2,67.95,70.958,0.042,1.0
A,2018_10,10,2,49.186,79.337,0.38,1.0
A,2018_11,11,2,23.441,34.554,0.322,1.0
A,2018_12,12,2,8.546,3.949,-1.164,0.0
A,2019_1,1,2,10.255,5.021,-1.042,0.0
A,2019_2,2,2,12.758,19.252,0.337,1.0
A,2019_3,3,2,14.595,10.591,-0.378,0.0
A,2019_4,4,2,34.79,45.47,0.235,1.0
A,2019_5,5,2,14.993,91.088,0.835,1.0
A,2019_6,6,2,53.486,108.843,0.509,1.0
A,2019_7,7,2,46.878,193.12,0.757,1.0
A,2019_8,8,2,38.119,97.813,0.61,1.0
A,2019_9,9,2,24.889,61.298,0.594,1.0
A,2019_10,10,2,11.163,61.488,0.818,1.0
A,2019_11,11,2,14.97,29.306,0.489,1.0
A,2019_12,12,2,23.687,44.169,0.464,1.0
A,2020_1,1,2,19.646,75.947,0.741,1.0
A,2020_2,2,2,10.395,15.818,0.343,1.0
A,2020_3,3,2,78.18,29.716,-1.631,0.0
A,2020_4,4,2,9.721,16.971,0.427,1.0
A,2020_5,5,2,19.025,24.967,0.238,1.0
A,2020_6,6,2,33.816,47.047,0.281,1.0
A,2020_7,7,2,279.809,114.178,-1.451,0.0
A,2020_8,8,2,157.75,170.34,0.074,1.0
A,2020_9,9,2,22.15,47.448,0.533,1.0
A,2020_10,10,2,7.804,16.891,0.538,1.0
A,2020_11,11,2,5.749,6.739,0.147,1.0
A,2020_12,12,2,11.412,14.337,0.204,1.0
A,2011_1,1,3,5.906,10.508,0.438,1.0
A,2011_2,2,3,56.639,92.159,0.385,1.0
A,2011_3,3,3,108.245,94.229,-0.149,0.0
A,2011_4,4,3,411.166,355.532,-0.156,0.0
A,2011_5,5,3,632.497,472.992,-0.337,0.0
A,2011_6,6,3,707.291,411.001,-0.721,0.0
A,2011_7,7,3,471.608,129.354,-2.646,0.0
A,2011_8,8,3,42.03,69.825,0.398,1.0
A,2011_9,9,3,22.901,46.373,0.506,1.0
A,2011_10,10,3,20.364,23.906,0.148,1.0
A,2011_11,11,3,20.959,17.349,-0.208,0.0
A,2011_12,12,3,34.623,11.72,-1.954,0.0
A,2012_1,1,3,10.749,10.536,-0.02,0.0
A,2012_2,2,3,22.868,46.407,0.507,1.0
A,2012_3,3,3,37.743,25.019,-0.509,0.0
A,2012_4,4,3,24.007,29.863,0.196,1.0
A,2012_5,5,3,88.882,43.697,-1.034,0.0
A,2012_6,6,3,186.874,48.725,-2.835,0.0
A,2012_7,7,3,174.138,48.513,-2.59,0.0
A,2012_8,8,3,76.37,68.414,-0.116,0.0
A,2012_9,9,3,48.278,53.439,0.097,1.0
A,2012_10,10,3,38.866,43.296,0.102,1.0
A,2012_11,11,3,18.017,50.896,0.646,1.0
A,2012_12,12,3,31.961,48.37,0.339,1.0
A,2013_1,1,3,11.649,30.613,0.619,1.0
A,2013_2,2,3,11.874,26.678,0.555,1.0
A,2013_3,3,3,15.243,19.419,0.215,1.0
A,2013_4,4,3,22.221,20.835,-0.067,0.0
A,2013_5,5,3,146.921,93.027,-0.579,0.0
A,2013_6,6,3,79.164,55.387,-0.429,0.0
A,2013_7,7,3,58.772,69.793,0.158,1.0
A,2013_8,8,3,42.523,124.615,0.659,1.0
A,2013_9,9,3,43.124,35.373,-0.219,0.0
A,2013_10,10,3,15.882,10.14,-0.566,0.0
A,2013_11,11,3,8.721,15.167,0.425,1.0
A,2013_12,12,3,6.324,7.19,0.12,1.0
A,2014_1,1,3,24.947,8.781,-1.841,0.0
A,2014_2,2,3,36.741,11.929,-2.08,0.0
A,2014_3,3,3,56.445,43.137,-0.309,0.0
A,2014_4,4,3,33.527,86.085,0.611,1.0
A,2014_5,5,3,95.072,228.307,0.584,1.0
A,2014_6,6,3,63.401,191.368,0.669,1.0
A,2014_7,7,3,52.588,188.281,0.721,1.0
A,2014_8,8,3,35.015,68.414,0.488,1.0
A,2014_9,9,3,66.969,53.916,-0.242,0.0
A,2014_10,10,3,61.159,54.416,-0.124,0.0
A,2014_11,11,3,12.117,7.195,-0.684,0.0
A,2014_12,12,3,12.31,6.415,-0.919,0.0
A,2015_1,1,3,35.173,10.246,-2.433,0.0
A,2015_2,2,3,33.499,11.929,-1.808,0.0
A,2015_3,3,3,48.333,42.72,-0.131,0.0
A,2015_4,4,3,68.744,69.451,0.01,1.0
A,2015_5,5,3,75.981,163.847,0.536,1.0
A,2015_6,6,3,196.586,276.268,0.288,1.0
A,2015_7,7,3,122.59,333.741,0.633,1.0
A,2015_8,8,3,112.203,183.49,0.389,1.0
A,2015_9,9,3,16.097,35.069,0.541,1.0
A,2015_10,10,3,51.216,90.457,0.434,1.0
A,2015_11,11,3,11.586,73.106,0.842,1.0
A,2015_12,12,3,9.421,17.523,0.462,1.0
A,2016_1,1,3,26.849,10.23,-1.625,0.0
A,2016_2,2,3,11.427,36.179,0.684,1.0
A,2016_3,3,3,31.034,16.963,-0.83,0.0
A,2016_4,4,3,47.737,52.006,0.082,1.0
A,2016_5,5,3,44.24,41.145,-0.075,0.0
A,2016_6,6,3,44.526,100.343,0.556,1.0
A,2016_7,7,3,68.611,119.345,0.425,1.0
A,2016_8,8,3,72.951,129.461,0.437,1.0
A,2016_9,9,3,15.823,32.248,0.509,1.0
A,2016_10,10,3,25.456,47.1,0.46,1.0
A,2016_11,11,3,10.754,15.3,0.297,1.0
