catchment,date,month,leadtime,CRPS,CRPS_ref,CRPSS,count
A,2011_1,1,1,15.414,10.15,-0.519,0.0
A,2011_2,2,1,6.337,18.255,0.653,1.0
A,2011_3,3,1,19.875,5.8,-2.427,0.0
A,2011_4,4,1,67.125,78.034,0.14,1.0
A,2011_5,5,1,63.399,25.145,-1.521,0.0
A,2011_6,6,1,210.352,231.708,0.092,1.0
A,2011_7,7,1,415.93,223.339,-0.862,0.0
A,2011_8,8,1,59.087,32.884,-0.797,0.0
A,2011_9,9,1,14.799,41.496,0.643,1.0
A,2011_10,10,1,13.12,10.313,-0.272,0.0
A,2011_11,11,1,18.577,21.825,0.149,1.0
A,2011_12,12,1,14.558,4.134,-2.522,0.0
A,2012_1,1,1,11.626,3.31,-2.512,0.0
A,2012_2,2,1,18.182,9.667,-0.881,0.0
A,2012_3,3,1,5.894,22.309,0.736,1.0
A,2012_4,4,1,16.211,41.124,0.606,1.0
A,2012_5,5,1,8.025,26.877,0.701,1.0
A,2012_6,6,1,29.531,36.756,0.197,1.0
A,2012_7,7,1,78.473,31.902,-1.46,0.0
A,2012_8,8,1,127.495,47.38,-1.691,0.0
A,2012_9,9,1,37.91,49.268,0.231,1.0
A,2012_10,10,1,13.365,10.826,-0.235,0.0
A,2012_11,11,1,8.049,17.681,0.545,1.0
A,2012_12,12,1,7.186,27.409,0.738,1.0
A,2013_1,1,1,3.41,7.325,0.534,1.0
A,2013_2,2,1,12.872,15.235,0.155,1.0
A,2013_3,3,1,9.201,11.29,0.185,1.0
A,2013_4,4,1,6.681,12.328,0.458,1.0
A,2013_5,5,1,9.57,8.346,-0.147,0.0
A,2013_6,6,1,46.512,17.452,-1.665,0.0
A,2013_7,7,1,131.82,119.486,-0.103,0.0
A,2013_8,8,1,12.44,98.371,0.874,1.0
A,2013_9,9,1,34.812,40.151,0.133,1.0
A,2013_10,10,1,34.437,9.605,-2.585,0.0
A,2013_11,11,1,7.262,16.287,0.554,1.0
A,2013_12,12,1,6.708,6.57,-0.021,0.0
A,2014_1,1,1,14.516,2.934,-3.948,0.0
A,2014_2,2,1,19.059,4.991,-2.819,0.0
A,2014_3,3,1,15.614,6.578,-1.374,0.0
A,2014_4,4,1,10.796,8.456,-0.277,0.0
A,2014_5,5,1,29.072,36.406,0.201,1.0
A,2014_6,6,1,26.678,34.956,0.237,1.0
A,2014_7,7,1,65.8,129.559,0.492,1.0
A,2014_8,8,1,22.014,32.884,0.331,1.0
A,2014_9,9,1,25.763,38.329,0.328,1.0
A,2014_10,10,1,66.576,56.955,-0.169,0.0
A,2014_11,11,1,6.097,5.031,-0.212,0.0
A,2014_12,12,1,12.252,2.099,-4.837,0.0
A,2015_1,1,1,12.149,2.522,-3.817,0.0
A,2015_2,2,1,12.126,4.387,-1.764,0.0
A,2015_3,3,1,17.557,6.318,-1.779,0.0
A,2015_4,4,1,26.491,12.684,-1.089,0.0
A,2015_5,5,1,44.65,44.413,-0.005,0.0
A,2015_6,6,1,35.256,29.656,-0.189,0.0
A,2015_7,7,1,24.974,71.337,0.65,1.0
A,2015_8,8,1,21.532,106.343,0.798,1.0
A,2015_9,9,1,62.271,56.4,-0.104,0.0
A,2015_10,10,1,9.174,12.117,0.243,1.0
A,2015_11,11,1,11.611,81.328,0.857,1.0
A,2015_12,12,1,17.886,9.489,-0.885,0.0
A,2016_1,1,1,23.572,9.724,-1.424,0.0
A,2016_2,2,1,10.039,19.735,0.491,1.0
A,2016_3,3,1,47.519,6.15,-6.727,0.0
A,2016_4,4,1,12.633,26.02,0.514,1.0
A,2016_5,5,1,35.736,14.255,-1.507,0.0
A,2016_6,6,1,70.857,68.942,-0.028,0.0
A,2016_7,7,1,78.823,89.005,0.114,1.0
A,2016_8,8,1,23.949,105.977,0.774,1.0
A,2016_9,9,1,34.186,35.656,0.041,1.0
A,2016_10,10,1,12.364,27.713,0.554,1.0
A,2016_11,11,1,15.21,5.343,-1.847,0.0
A,2016_12,12,1,8.974,36.389,0.753,1.0
A,2017_1,1,1,7.1,2.608,-1.722,0.0
A,2017_2,2,1,9.3,4.412,-1.108,0.0
A,2017_3,3,1,13.887,6.812,-1.039,0.0
A,2017_4,4,1,9.959,10.428,0.045,1.0
A,2017_5,5,1,41.657,48.44,0.14,1.0
A,2017_6,6,1,47.029,42.449,-0.108,0.0
A,2017_7,7,1,85.803,109.22,0.214,1.0
A,2017_8,8,1,30.344,33.091,0.083,1.0
A,2017_9,9,1,25.123,49.676,0.494,1.0
A,2017_10,10,1,38.713,8.857,-3.371,0.0
A,2017_11,11,1,9.35,5.57,-0.679,0.0
A,2017_12,12,1,2.543,3.494,0.272,1.0
A,2018_1,1,1,7.939,3.936,-1.017,0.0
A,2018_2,2,1,6.392,5.54,-0.154,0.0
A,2018_3,3,1,12.991,25.762,0.496,1.0
A,2018_4,4,1,14.801,52.192,0.716,1.0
A,2018_5,5,1,55.156,71.607,0.23,1.0
A,2018_6,6,1,28.027,30.796,0.09,1.0
A,2018_7,7,1,15.59,43.545,0.642,1.0
A,2018_8,8,1,146.264,43.83,-2.337,0.0
A,2018_9,9,1,18.755,51.414,0.635,1.0
A,2018_10,10,1,16.837,53.636,0.686,1.0
A,2018_11,11,1,8.229,21.081,0.61,1.0
A,2018_12,12,1,4.104,13.444,0.695,1.0
A,2019_1,1,1,23.993,11.655,-1.059,0.0
A,2019_2,2,1,18.715,12.308,-0.521,0.0
A,2019_3,3,1,8.79,10.597,0.171,1.0
A,2019_4,4,1,7.912,9.117,0.132,1.0
A,2019_5,5,1,26.811,48.591,0.448,1.0
A,2019_6,6,1,33.774,33.676,-0.003,0.0
A,2019_7,7,1,25.685,63.345,0.595,1.0
A,2019_8,8,1,18.845,92.127,0.795,1.0
A,2019_9,9,1,19.763,52.581,0.624,1.0
A,2019_10,10,1,65.317,29.16,-1.24,0.0
A,2019_11,11,1,21.475,32.228,0.334,1.0
A,2019_12,12,1,11.797,1.992,-4.922,0.0
A,2020_1,1,1,11.501,47.927,0.76,1.0
A,2020_2,2,1,7.464,24.877,0.7,1.0
A,2020_3,3,1,39.33,6.641,-4.922,0.0
A,2020_4,4,1,20.702,17.404,-0.189,0.0
A,2020_5,5,1,17.373,10.89,-0.595,0.0
A,2020_6,6,1,30.007,33.516,0.105,1.0
A,2020_7,7,1,25.734,29.386,0.124,1.0
A,2020_8,8,1,163.05,160.881,-0.013,0.0
A,2020_9,9,1,19.395,65.491,0.704,1.0
A,2020_10,10,1,21.201,22.673,0.065,1.0
A,2020_11,11,1,6.839,9.726,0.297,1.0
A,2020_12,12,1,8.34,3.434,-1.429,0.0
A,2011_1,1,2,5.182,8.72,0.406,1.0
A,2011_2,2,2,22.699,15.716,-0.444,0.0
A,2011_3,3,2,32.898,69.042,0.524,1.0
A,2011_4,4,2,108.627,101.523,-0.07,0.0
A,2011_5,5,2,219.876,265.118,0.171,1.0
A,2011_6,6,2,615.107,443.906,-0.386,0.0
A,2011_7,7,2,528.011,161.082,-2.278,0.0
A,2011_8,8,2,55.0,73.985,0.257,1.0
A,2011_9,9,2,23.746,38.573,0.384,1.0
A,2011_10,10,2,15.081,22.077,0.317,1.0
A,2011_11,11,2,39.727,24.159,-0.644,0.0
A,2011_12,12,2,39.305,3.646,-9.78,0.0
A,2012_1,1,2,45.036,15.173,-1.968,0.0
A,2012_2,2,2,23.789,12.046,-0.975,0.0
A,2012_3,3,2,19.186,60.731,0.684,1.0
A,2012_4,4,2,15.55,16.86,0.078,1.0
A,2012_5,5,2,44.489,71.416,0.377,1.0
A,2012_6,6,2,65.294,29.218,-1.235,0.0
A,2012_7,7,2,214.48,52.932,-3.052,0.0
A,2012_8,8,2,81.588,70.133,-0.163,0.0
A,2012_9,9,2,36.952,46.722,0.209,1.0
A,2012_10,10,2,13.878,19.01,0.27,1.0
A,2012_11,11,2,7.694,43.974,0.825,1.0
