catchment,date,month,leadtime,CRPS
A,2011_1,1,1,15.414
A,2011_2,2,1,6.337
A,2011_3,3,1,19.875
A,2011_4,4,1,67.125
A,2011_5,5,1,63.399
A,2011_6,6,1,210.352
A,2011_7,7,1,415.93
A,2011_8,8,1,59.087
A,2011_9,9,1,14.799
A,2011_10,10,1,13.12
A,2011_11,11,1,18.577
A,2011_12,12,1,14.558
A,2012_1,1,1,11.626
A,2012_2,2,1,18.182
A,2012_3,3,1,5.894
A,2012_4,4,1,16.211
A,2012_5,5,1,8.025
A,2012_6,6,1,29.531
A,2012_7,7,1,78.473
A,2012_8,8,1,127.495
A,2012_9,9,1,37.91
A,2012_10,10,1,13.365
A,2012_11,11,1,8.049
A,2012_12,12,1,7.186
A,2013_1,1,1,3.41
A,2013_2,2,1,12.872
A,2013_3,3,1,9.201
A,2013_4,4,1,6.681
A,2013_5,5,1,9.57
A,2013_6,6,1,46.512
A,2013_7,7,1,131.82
A,2013_8,8,1,12.44
A,2013_9,9,1,34.812
A,2013_10,10,1,34.437
A,2013_11,11,1,7.262
A,2013_12,12,1,6.708
A,2014_1,1,1,14.516
A,2014_2,2,1,19.059
A,2014_3,3,1,15.614
A,2014_4,4,1,10.796
A,2014_5,5,1,29.072
A,2014_6,6,1,26.678
A,2014_7,7,1,65.8
A,2014_8,8,1,22.014
A,2014_9,9,1,25.763
A,2014_10,10,1,66.576
A,2014_11,11,1,6.097
A,2014_12,12,1,12.252
A,2015_1,1,1,12.149
A,2015_2,2,1,12.126
A,2015_3,3,1,17.557
A,2015_4,4,1,26.491
A,2015_5,5,1,44.65
A,2015_6,6,1,35.256
A,2015_7,7,1,24.974
A,2015_8,8,1,21.532
A,2015_9,9,1,62.271
A,2015_10,10,1,9.174
A,2015_11,11,1,11.611
A,2015_12,12,1,17.886
A,2016_1,1,1,23.572
A,2016_2,2,1,10.039
A,2016_3,3,1,47.519
A,2016_4,4,1,12.633
A,2016_5,5,1,35.736
A,2016_6,6,1,70.857
A,2016_7,7,1,78.823
A,2016_8,8,1,23.949
