date,A,B,C
1/1/1966,0,0,0
1/2/1966,0,0,0
1/3/1966,0.8,0,0.22
1/4/1966,0.01,0.08,0.03
1/5/1966,0.04,0.21,0.01
1/6/1966,2.32,0,0.02
1/7/1966,0.01,0,0
1/8/1966,0.07,0,0
1/9/1966,1.14,4.08,0.6
1/10/1966,4.48,1.24,1.88
1/11/1966,1.78,0,0.02
1/12/1966,0.28,0,0.18
1/13/1966,0,0,0.05
1/14/1966,0.75,0,0
1/15/1966,0,0,0
1/16/1966,0,0,0
1/17/1966,0,0,0
1/18/1966,0,0,0
1/19/1966,0,0,0
1/20/1966,0,0,0.03
1/21/1966,0,0,0
1/22/1966,0,0,0
1/23/1966,0,0,0
1/24/1966,1.6,0,0
1/25/1966,0.1,0.03,0
1/26/1966,0,0,0
1/27/1966,1.01,0,0.06
1/28/1966,0.08,0.05,0.4
1/29/1966,0.01,0,0.06
1/30/1966,0,0,0
1/31/1966,0,0,0
2/1/1966,0,0,0
2/2/1966,0.01,0,0
2/3/1966,0,0,0
2/4/1966,0.47,0,0.18
2/5/1966,0,0,0.14
2/6/1966,0,0,0
2/7/1966,0,0,0
2/8/1966,0,0,0
2/9/1966,4.78,0,1.13
2/10/1966,16,16.56,11.57
2/11/1966,5.26,0,0.42
2/12/1966,0,0,0
2/13/1966,0,0,0
2/14/1966,0,0,0
2/15/1966,2.95,0,0.07
2/16/1966,5.69,6.72,4.82
2/17/1966,2.97,7.07,0.64
2/18/1966,0.62,0,1.84
2/19/1966,3.46,22.17,6.73
2/20/1966,4.87,13.49,11.61
2/21/1966,2.91,1.79,2.09
2/22/1966,2.46,4.35,2.9
2/23/1966,3.92,0.76,0.03
2/24/1966,0,0,0
2/25/1966,0,0,0
2/26/1966,0,0,0
2/27/1966,0,0,0
2/28/1966,0,0,0
3/1/1966,6.21,5.5,2.25
3/2/1966,9.41,8.93,2.97
3/3/1966,6,20.33,14.15
3/4/1966,7.64,22.13,16.16
3/5/1966,7.39,19.43,13.19
3/6/1966,18.72,67.24,26.5
3/7/1966,4.17,1.31,9.38
3/8/1966,0.02,0,0.16
3/9/1966,0.03,0,0
3/10/1966,0,0,0
3/11/1966,0,0,0
3/12/1966,0,0,0
3/13/1966,0,0,0
3/14/1966,1.62,0.04,0.16
3/15/1966,3.3,10.2,7.54
3/16/1966,2.63,0,0.17
3/17/1966,6.35,1.65,2.99
3/18/1966,11.06,3.92,9.09
3/19/1966,4.86,0.54,1.75
3/20/1966,3.64,0,0.04
3/21/1966,8.54,16.63,10.84
3/22/1966,4.16,0.01,3.54
3/23/1966,2.16,0,0
3/24/1966,1.05,0,0
3/25/1966,0,0,0.33
3/26/1966,0,0,0
3/27/1966,0.49,1.26,0.04
3/28/1966,1.79,1.1,0.81
3/29/1966,3.36,0,0.02
3/30/1966,0,0,0
3/31/1966,0,0,0
4/1/1966,0,0,0
4/2/1966,0,0,0
4/3/1966,0.27,0,0
4/4/1966,0,0,0
4/5/1966,1.08,0,0.98
4/6/1966,1.04,9.82,3.45
4/7/1966,1.59,0,0.83
4/8/1966,0,0,0.25
4/9/1966,0,4.3,1.83
4/10/1966,0.02,0,0.62
4/11/1966,0,0,0
4/12/1966,0,0,0
4/13/1966,0.13,0,0
4/14/1966,0.24,0.27,0.07
4/15/1966,1.07,0.07,0.81
4/16/1966,1.3,0,0
4/17/1966,0.36,0,0
4/18/1966,0.11,0,0
4/19/1966,0.05,0,0
4/20/1966,0.35,0,0
